,lemmas,real phrases,generated phrases
0,"wolf, eat, them",The wolf wants to eat them.,The wolf ate them.
1,"children, go, school, by, plane",Children go to school by plane.,The children go to school by plane.
2,"baby, walk, car",The baby walks in the car.,The baby walks to the car.
3,"Juan, find, a, castle",Juan found a castle.,Juan finds a castle.
4,"dog, walk, collar",The dog walks with the collar.,The dog walks with the collar.
5,"want, to, go, bathroom",I want to go to the bathroom.,I want to go to the bathroom.
6,"cow, want, to, study, school",The cow wanted to study at school.,The cow wants to study at school.
7,"book, case, be, bag",The book and the case are in the bag.,The book is in the bag.
8,"little, goat, be, clock",The little goat is in the clock.,The little goat be on the clock.
9,"parrot, look, snail",The parrot looks at the snail.,The parrot looks at the snail.
10,"kids, be, happy",The kids were happy.,The kids be happy.
11,"girl, listen, music",The girl listens to music.,The girl listens to the music.
12,"bird, swim, sea",The bird swims in the sea.,The bird swims in the sea.
13,"pig, live, farm",The pig lives on the farm.,The pig lives on the farm.
14,"girls, run, kite",Girls run with the kite.,The girls run with the kite.
15,"silkworm, fall, love, with, her",The silkworm fell in love with her.,The silkworm fell in love with her.
16,"mom, duck, walk, her, children",Mom Duck walked with her children.,The mom duck walks her children.
17,"girl, speak, phone",The girl speaks on the phone.,The girl spoke to the phone.
18,eat,I want to eat.,I ate a lemon
19,"wolf, knock, door",The wolf knocks on the door.,The wolf knocked on the door.
20,"that, king, be, Russia",That king is from Russia.,That the king be in Russia.
21,"dad, buy, supermarket",Dad buys at the supermarket.,Dad buys a supermarket.
22,"straw, house, break",The straw house breaks.,The straw broke the house.
23,"dolphins, turtle, swim, sea",Dolphins and turtle swim in the sea.,Dolphins swim in the sea.
24,"train, be, road",The train is on the road.,The train is on the road.
25,"wolf, arrive, first",The wolf arrived first.,The wolf arrived first.
26,"boy, go, bakery",Boy goes to the bakery.,The boy went to the bakery.
27,"girl, swing, swing",The girl swings on the swing.,The girl swings on the swing.
28,"mayor, want, to, pay, flutist, not",The mayor did not want to pay the flutist.,The mayor wants to pay the flutist not to play.
29,"children, play, boat, train",Children play with the boat and the train.,The children play on the train.
30,"bird, fly, sky",The bird flies through the sky.,The bird flies in the sky.
31,"grandma, be, closet",Grandma is in the closet.,Grandma was in the closet.
32,"eat, melon, lemon",I want to eat melon and lemon.,I eat melons and lemons.
33,"Dorita, live, a, farm, with, her, uncles",Dorita lived on a farm with her uncles and her little dog Totó.,Dorita lives on a farm with her uncles.
34,"dragonfly, fly, lake",The dragonfly flies in the lake.,The dragonfly flies over the lake.
35,"wolf, sleep",The wolf slept.,The wolf sleeps in the forest.
36,"girl, play, sheets",The girl plays with the sheets.,The girl played on the sheets.
37,"children, play, pool",Children play in the pool.,The children play in the pool.
38,"kids, recognize, dark, skin, of, wolf",The kids recognized the dark skin of the wolf.,The kids recognize the dark skin of the wolf.
39,"donkey, fall, mud",The donkey fell into the mud.,The donkey fell into the mud.
40,"woman, pick, peaches, from, tree",The woman picks peaches from the tree with her basket.,The woman picked peaches from the tree.
41,"want, to, play, fire",I want to play with fire.,I want to play with fire.
42,"woodcutter, catch, a, boar",The woodcutter caught a boar.,The woodcutter caught a boar.
43,"girl, drink, a, milkshake, with, two, straws",The girl drinks a chocolate milkshake with two straws.,The girl drank a milkshake with two straws.
44,"Juan, go, up, by, plant",Juan went up by the plant.,Juan goes up by the plant.
45,"boy, walk, street",The boy walks on the street.,The boy walks on the street.
46,"Little Red Riding Hood, get, busy",Little Red Riding Hood got busy picking flowers for Granny.,Little Red Riding Hood got busy.
47,"children, play, corro",The children play at the corro.,The children play with the corro.
48,"two, cars, collide, street",Two cars collide on the street.,Two cars collided on the street.
49,"cock, sing, night",The cock sings at night.,The cock sang a night song.
50,"frog, climb, branch",The frog climbed the branch.,The frog climbed the branch.
51,"mom, read, girl",Mom reads with the girl.,The mom read the girl.
52,"Lolo, play, ball",Lolo plays with the ball.,Lolo plays with the ball.
53,"Enrique, give, me, a, bouquet, of, roses",Enrique gave me a bouquet of roses.,Enrique gave me a bouquet of roses.
54,"child, swim, pool",The child swims in the pool.,The child swims in the pool.
55,"an, old, lady, give, them, a, magic, eraser",An old lady gave them a magic eraser.,An old lady gave them a magic eraser.
56,"change, it, not",I will not change it.,The change it not
57,"that, gentleman, walk, pine, forest",That gentleman is going to walk along the pine forest.,The gentleman walks in the forest.
58,"Oscar, be, bar",Oscar is at the bar.,Oscar be a bar
59,"mom, mash, blender",Mom mashes with the blender.,The mom mashed the blender.
60,"Juan, cut, plant",Juan cut the plant.,Juan cut the plant
61,"Earth, be, round",The Earth is round.,Earth is round
62,"see, a, mole, in, autumn",I saw a mole in autumn.,The mole saw a girl in the autumn.
63,"baby, play, parquet",The baby plays in the parquet.,The baby plays on the parquet.
64,"go, to, Moon",I want to go to the Moon.,I go to the moon
65,"Santa, go, sleigh, with, reindeers",Santa goes in sleigh with reindeers.,Santa goes to the sleigh with the reindeers
66,"dog, have, puppies",The dog had puppies.,The dog has puppies.
67,"kids, play, park",The kids play in the park.,The kids play in the park.
68,"girl, carry, an, umbrella",The girl is carrying an umbrella.,The girl carries an umbrella.
69,"boy, climb, rocks",The boy climbs on the rocks.,The boy climbed the rocks.
70,"sleep, bed",I sleep in the bed.,I sleep in bed.
71,"girl, drink, glass",The girl drinks in the glass.,The girl drinks the glass.
72,"boy, float, churro",The boy floats with the churro.,The boy gaily gaily floats the churro.
73,"girl, swim, indoor, pool",The girl swims in the indoor pool.,The girl swims in the indoor pool.
74,"Snow White, run, forest",Snow White runs to the forest.,Snow White runs into the forest.
75,"dad, read, a, story, to, girl",Dad reads a story to the girl in bed.,Dad read a story to the girl.
76,"pee, toilet",I pee on the toilet.,I pee in the toilet.
77,"hen, lay, golden, eggs",The hen laid golden eggs.,The hen lays golden eggs.
78,"girl, clap, her, feet",The girl claps with her feet.,The girl clapped her feet.
79,"Three Wise Men, go, a, camel",The Three Wise Men go on a camel.,Three wise men went on a camel.
80,"where, you, go, Little Red Riding Hood, ?",Where are you going Little Red Riding Hood?,"Where you go, Little Red Riding Hood, ?"
81,"wolf, lick, thinking, about, kids",The wolf licked thinking about the kids.,The wolf licked the kids about thinking.
82,"wolf, lie, bed",The wolf lies on the bed.,The wolf lies in the bed.
83,"Goldilocks, sleep, small, bed",Goldilocks sleeps in the small bed.,Goldilocks slept in the small bed.
84,"lizard, be, washing, machine",The lizard is in the washing machine.,The lizard is washing the machine.
85,"girl, write, sand",The girl writes on the sand.,The girl wrote sand.
86,"plane, fly, clouds",The plane flies over the clouds.,The plane flies through the clouds.
87,"stepmother, let, Cinderella, go, party, not",The stepmother does not let Cinderella go to the party.,The stepmother let Cinderella go to the party.
88,"child, go, slide",The child goes down the slide.,The child went down the slide.
89,"red, plane, fly, clouds",The red plane flies up the clouds.,The red plane flies through the clouds.
90,"they, have, an, old, cow",They had an old cow.,They have an old cow.
91,"only, cow, study",Only the cow studied.,Only the cow studies.
92,"we, see, little, donkey, on, Palm Sunday",On Palm Sunday we will see the little donkey.,We see a little donkey on Palm Sunday.
93,"Juan, change, cow, for, magic, beans",Juan changed the cow for magic beans.,Juan changed the cow for magic beans.
94,"Goldilocks, sleep, bed",Goldilocks sleeps in bed.,Goldilocks slept in the bed.
95,"bag, of, fruit, be, broken",The bag of fruit has been broken.,The bag of fruit was broken.
96,"sleep, night",I sleep at night.,I slept at night.
97,"all, children, be, scared",All the children were scared.,All the children were scared.
98,"women, wear, mantillas",The women are dressed in mantillas.,The women wear mantillas.
99,"goblin, paint, snail's house, yellow",The goblin painted the snail's house yellow.,The goblin painted the snail's house yellow.
100,"cat, sleep, top, of, guitar",The cat sleeps on top of the guitar.,The cat sleeps on top of the guitar.
101,"girl, sit, stairs",The girl is sitting on the stairs.,The girl sits on the stairs.
102,"girl, sit, a, rock",The girl is sitting on a rock.,The girl sits on the rock.
103,"wolf, knock, door",The wolf knocked on the door.,The wolf knocked on the door.
104,"play, park, with, boar",I play in the park with the boar.,The boar plays in the park.
105,"book, case, be, oven",The book and the case are inside the oven.,The book is in the oven.
106,"girl, swim, pool",The girl swims in the pool.,The girl swims in the pool.
107,"mom, goat, buy",Mom goat is going to buy.,The goat bought a mom.
108,"bathe, bathtub",I bathe in the bathtub.,I bathe in the bathtub.
109,"Juan, take, hen, magic, harp",Juan took away the hen and the magic harp.,Juan took the hen to the magic harp.
110,"who, prettiest, be, ?",Who is the prettiest?,Who is the prettiest girl?
111,"salt, fall, tablecloth",Salt fell on the tablecloth.,The salt fell on the tablecloth.
112,"children, paint, a, blue, pencil, on, paper",Children paint with a blue pencil on white paper.,The children paint a blue pencil on paper.
113,"Eskimo, live, an, igloo",The Eskimo lives in an igloo.,The Eskimo lives in an igloo.
114,"girl, sit, rock",The girl is sitting on the rock.,The girl sits on the rock.
115,"Little Red Riding Hood, grandma, be, happy",Little Red Riding Hood and Grandma were happy.,Little Red Riding Hood be happy with grandma
116,"two, cars, collide, sky",Two cars collide in the sky.,Two cars collided in the sky.
117,"girl, buy, cart",The girl buys with the cart.,The girl bought a cart.
118,"snail, Ramón, know, how, to, dress, not",The snail Ramón does not know how to dress.,Ramón the snail knows how to dress not
119,"look, thread, with, magnifying glass",I look at the thread with the magnifying glass.,The thread looks with a magnifying glass.
120,"cock, sing, morning",The cock sings in the morning.,The cock sang in the morning.
121,"child, listen, music",The child listens to music.,The child listens to music.
122,"child, look, stars, with, telescope",The child looks at the stars with the telescope.,The child looks at the stars with a telescope.
