,lemmas,generated phrases,real phrases
0,"cerditos, vivir, feliz",los cerditos viven felices,Los cerditos viven felices.
1,"Juan, se, encontrar, un, mago",Juan se encontró un mago,Juan se encontró con un mago.
2,"cabritillo, pequeño, estar, reloj",el cabritillo pequeño está en un reloj,El cabritillo pequeño está en el reloj.
3,"otro, hija, ser, Saturno",el otro es mi hija y es Saturno,Otra hija era Saturno.
4,"Reyes, mago, ir, camello",los Reyes magos van en camello,Los Reyes Magos van en camello.
5,"policía, poner, un, multa",la policía pone una multa,El policía puso una multa.
6,"ratita, comprar, un, lazo",la ratita se compra un lazo,La ratita compra un lazo.
7,"lunes, comer, lentejas",el lunes como lentejas,El lunes comeré lentejas.
8,"este, ser, Ricitos, de, Oro",este es Ricitos de Oro,Esta es Ricitos de Oro.
9,"planta, llegar, cielo",la planta llega al cielo,La planta llegó hasta el cielo.
10,"cerdito, correr, rápido",el cerdito corre rapido,El cerdito corre rápido.
11,"mamá, meter, piedras, en, barriga",mamá me mete piedras en la barriga ,Mamá mete piedras en la barriga.
12,"tirar, ventana",me tiro por la ventana ,Las tiró por la ventana.
13,"niño, jugar, piscina",el niño juega en la piscina,Los niños juegan en la piscina.
14,"Laura, Malena, ser, gemelo",Laura y Malena son gemelos ,Laura y Malena son gemelas.
15,"qué, llevar, cesta, ?",que llevas en la cesta?,¿qué llevas en la cesta?
16,"a, dónde, ir, Caperucita",a donde va Caperucita,¿a dónde vas Caperucita?
17,"no, lo, cambiar",no lo cambies ,No lo cambiaré.
18,"me, gustar, churros, relleno",me gustan los churros rellenos,Me gustan los churros rellenos.
19,"niños, se, reír",los niños saben reír ,Los niños se reían.
20,"juan, bajar, planta",juan baja la planta ,Juan bajó por la planta.
21,"yo, escribir, un, carta, para, Reyes, mago",yo escribo una carta para los Reyes magos,Yo escribo una carta para los Reyes Magos.
22,"perro, ir, carretera",el perro va por la carretera ,El perro fue por la carretera.
23,"niño, pesca, un, pez, pequeñito",el niño pesca un pez pequeñito,El niño pesca un pez pequeñito.
24,"ver, un, topo, en, otoño",veo un topo en otoño,Vi un topo en otoño.
25,"ratita, barrer, su, casita",la ratita barre su casita ,La ratita barre su casita.
26,"seis, cabritillos, salir, contento",seis cabritillos salen contentos,Los seis cabritillos salen contentos.
27,"madrastra, no, dejar, ir, Cenicienta, a, fiesta",la madrastra no deja ir a Cenicienta a la fiesta ,La madrastra no deja ir a Cenicienta a la fiesta.
28,"todos, quedar, sorprendido, de, su, disfraz, tan, bonito",todos quedaron sorprendidos de su disfraz tan bonito ,Todos quedaron sorprendidos de su disfraz tan bonito.
29,"reyes, mago, traer, regalo",los Reyes magos traen un regalo,Los reyes magos traen regalo.
30,"mamá, me, decir, hola, por, mañana",mamá me dijo hola por la mañana,Mamá me dice hola por la mañana.
31,"cerditos, ver, lobo",los cerditos ven el lobo,Los cerditos ven al lobo.
32,"amigos, de, bruja, lo, ver, bailar",los amigos de la bruja lo ven bailar ,Los amigos de la bruja lo vieron bailar.
33,"su, mamá, se, enfadar",su mamá se va a enfadar,Su mamá se enfadó.
34,"perra, tener, cachorros",la perra tiene cachorros,La perra tuvo cachorros.
35,"lobo, llegar, primero",el lobo llegó primero,El lobo llegó primero.
36,"papá, leer, un, cuento, a, niña, en, cama",papá le lee un cuento a la niña en la cama,El papá lee un cuento a la niña en la cama.
37,"Ricitos, de, Oro, dormir, cama",Ricitos de oro se duerme en la cama ,Ricitos de Oro duerme en la cama.
38,"caracol, Ramó, no, saber, como, vestir, se","caracol Ramó no sabe cómo vestirse, se le olvidó ",El caracol Ramón no sabe como vestirse.
39,"Anabel, pintar, papel",Anabel pinta papel,Anabel pinta en el papel.
40,"papá, abrir, puerta, de, coche, con, llave",Papá abre la puerta del coche con llave ,El papá abre la puerta del coche con la llave.
41,"cazador, asustar, lobo",el cazador asusta al lobo ,El cazador asustó al lobo.
42,"Papá, Noel, ir, trineo, con, renos",Papá Noel va en trineo con renos,Papá Noel va en trineo con renos.
43,"este, ser, Caperuza, Roja",este es Caperuza Roja,Esta es Caperucita Roja.
44,"Blancanieves, correr, bosque",Blancanieves corre en el bosque,Blancanieves corre al bosque
45,"me, doler, colmillo",me duele el colmillo,Me duele el colmillo.
46,"mamá, oso, coger, plato, mediano",mamá oso coge el plato mediano,Mamá oso coge el plato mediano.
47,"yo, dormir, noche",yo duermo por la noche ,Yo duermo por la noche.
48,"ese, señor, ir, pasear, a, pinar",ese señor va a pasear al pinar ,Ese señor va a pasear al pinar.
49,"Caperucita, abuela, ser, feliz",Caperucita y la abuela son felices ,Caperucita y la abuela fueron felices.
